,id,name,position,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,C,LW,RW,D,assists_60,goals_60,pim_60,shots_60,hits_60,powerPlayGoals_60,powerPlayPoints_60,gameWinningGoals_60,overTimeGoals_60,shortHandedGoals_60,shortHandedPoints_60,blocked_60,points_60,shifts_60
0,8478421,A.J. Greer,LW,8.55,0,0,7,0,1,0,0,0,0.0,8.55,7,0.0,0.0,0,0,0,0,0.0,0,0,0,12,8.55,8.55,0.0,0.0,0,1,0,0,0.0,0.0,49.12280644300811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.21052533087104
1,8474056,P.K. Subban,D,983.7833333333333,14,5,26,99,44,41,2,5,89.8,827.8833333333333,26,0.0,5.1,0,0,0,0,66.1,46,-16,19,1152,22.35,18.8,1.5,2.033333333333333,0,0,0,1,0.8538465447147394,0.30494519454097835,1.5857150116130874,6.037914851911372,2.5005505952360227,1.336302893834852,3.34075723458713,0.0,0.0,0.0,0.0,2.8054957897770008,1.1587917392557177,70.25937282224142
2,8475193,Tomas Tatar,LW,749.35,20,10,8,82,50,63,2,8,100.45,647.05,8,44.44,12.2,1,0,0,0,1.85,20,0,30,1015,14.983333333333333,12.933333333333334,0.03333333333333333,2.0,0,1,0,0,1.6013878692731849,0.8006939346365924,0.640555147709274,6.565690264020059,5.044371788210533,1.194624189950598,4.778496759802392,0.08006939346365925,0.0,0.0,0.0,1.6013878692731849,2.4020818039097778,81.27043436561415
3,8476462,Dougie Hamilton,D,1249.7166666666667,32,10,35,180,55,52,2,18,167.86666666666667,1003.15,35,0.0,5.6,2,1,1,1,78.7,64,20,42,1429,22.716666666666665,18.233333333333334,1.4166666666666667,3.05,0,0,0,1,1.5363482388112226,0.480108824628507,1.6803808861997747,8.641958843313127,2.4965658880682366,0.71485305755668,6.4336775180101204,0.09602176492570141,0.04801088246285071,0.7623888173286039,0.7623888173286039,3.0726964776224452,2.01645706343973,68.60755103941366
4,8476923,Damon Severson,D,1259.1333333333334,18,3,29,91,56,57,0,4,103.03333333333333,1041.6333333333334,29,0.0,3.3,0,0,0,1,114.46666666666667,50,-8,21,1455,22.483333333333334,18.6,2.033333333333333,1.8333333333333335,0,0,0,1,0.857732832038619,0.14295547200643652,1.3819028960622195,4.336315984195241,2.7161539681222937,0.0,2.3293432523493918,0.0,0.0,0.0,0.5241700636073063,2.3825912001072753,1.0006883040450556,69.33340392312172
5,8477341,Andreas Johnsson,LW,696.7,6,5,12,65,50,39,1,1,66.95,610.6666666666666,12,39.28,7.7,0,0,0,0,19.083333333333332,17,-1,11,950,13.933333333333334,12.2,0.36666666666666664,1.3333333333333333,0,1,0,0,0.5167216878833469,0.4306014065694558,1.0334433757666939,5.5978182854029255,3.358690971241755,0.8961911861147257,0.8961911861147257,0.0,0.0,0.0,0.0,1.4640447823361495,0.9473230944528027,81.81426724819661
6,8477425,Miles Wood,LW,823.6333333333333,8,17,29,127,55,38,3,3,103.96666666666667,716.3666666666667,29,35.0,13.4,2,0,0,0,3.3,25,-6,25,1136,14.966666666666667,13.016666666666667,0.05,1.8833333333333333,0,1,0,0,0.5827836010462443,1.2384151522232691,2.1125905537926357,9.251689666609128,2.7682221049696607,1.73132414068805,1.73132414068805,0.14569590026156107,0.0,0.0,0.0,1.8211987532695133,1.8211987532695133,82.7552713485667
7,8477435,Ryan Graves,D,1029.0166666666667,13,2,55,101,54,77,0,0,2.7666666666666666,847.3,55,0.0,2.0,0,0,0,0,178.95,91,15,15,1248,19.05,15.683333333333334,3.3,0.05,0,0,0,1,0.7580052152613654,0.116616186963287,3.2069451414903924,5.889117441645993,4.489723198086549,0.0,0.0,0.0,0.0,0.0,0.0,5.3060365068295585,0.8746214022246526,72.76850066509108
8,8478399,Jonas Siegenthaler,D,234.25,0,0,4,7,15,20,0,0,0.48333333333333334,202.4,4,0.0,0.0,0,0,0,0,31.366666666666667,17,-9,0,292,15.616666666666667,13.483333333333333,2.0833333333333335,0.016666666666666666,0,0,0,1,0.0,0.0,1.0245464243224989,1.792956242564373,5.122732121612494,0.0,0.0,0.0,0.0,0.0,0.0,4.35432230337062,0.0,74.79188897554242
9,8478401,Pavel Zacha,C,857.75,18,17,10,103,50,42,5,11,133.61666666666667,657.3333333333334,10,51.48,16.5,4,2,0,0,66.8,10,-11,35,1168,17.15,13.133333333333333,1.3333333333333333,2.6666666666666665,1,0,0,0,1.2591081315932255,1.1891576798380463,0.699504517551792,7.204896530783458,2.9379189737175264,2.2452288869313493,4.939503551248968,0.2798018070207168,0.1399009035103584,0.0,0.0,0.699504517551792,2.448265811431272,81.7021276500493
10,8478868,Christian Jaros,D,78.3,1,0,2,3,7,9,0,0,0.3,76.56666666666666,2,0.0,0.0,0,0,0,0,1.4333333333333333,8,-4,1,118,11.183333333333334,10.933333333333334,0.2,0.03333333333333333,0,0,0,1,0.7662835239255639,0.0,1.5325670478511277,2.2988505717766916,6.896551715330075,0.0,0.0,0.0,0.0,0.0,0.0,6.130268191404511,0.7662835239255639,90.42145582321655
