,id,name,position,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,C,LW,RW,D,assists_60,goals_60,pim_60,shots_60,hits_60,powerPlayGoals_60,powerPlayPoints_60,gameWinningGoals_60,overTimeGoals_60,shortHandedGoals_60,shortHandedPoints_60,blocked_60,points_60,shifts_60
0,8470610,Zach Parise,LW,627.6,11,7,6,90,45,18,0,2,69.2,534.55,6,41.46,7.8,3,0,0,0,23.85,20,7,18,754,13.933333333333334,11.866666666666667,0.5166666666666667,1.5333333333333332,0,1,0,0,1.051625238838173,0.6692160610788375,0.5736137666390037,8.604206499585054,1.7208412999170106,0.0,1.7341040437368438,0.2868068833195018,0.0,0.0,0.0,1.9120458887966785,1.7208412999170106,72.08413000763478
1,8470655,David Backes,RW,191.01666666666668,1,3,4,30,15,31,0,0,4.216666666666667,164.63333333333333,4,50.62,10.0,1,0,0,0,22.166666666666668,16,-4,4,289,12.733333333333333,10.966666666666667,1.4666666666666668,0.26666666666666666,0,0,1,0,0.31410871635244286,0.9423261490573286,1.2564348654097715,9.423261490573285,9.737370206925728,0.0,0.0,0.31410871635244286,0.0,0.0,0.0,5.025739461639086,1.2564348654097715,90.77741902585599
2,8471233,Travis Zajac,C,754.9,12,8,6,50,46,51,0,1,39.25,621.7333333333333,6,51.41,16.0,2,0,0,0,93.91666666666667,22,-1,20,1048,16.4,13.5,2.033333333333333,0.85,1,0,0,0,0.9537687109612176,0.6358458073074784,0.4768843554806088,3.9740362956717403,4.053517021585175,0.0,1.5286624164874842,0.1589614518268696,0.0,0.0,0.0,1.7485759700955656,1.589614518268696,83.29580075727966
3,8471707,James Neal,LW,351.01666666666665,5,5,11,51,29,26,1,3,53.28333333333333,297.73333333333335,11,28.57,9.8,0,0,0,0,0.0,6,-2,10,449,12.1,10.266666666666667,0.0,1.8333333333333335,0,1,0,0,0.8546602722981832,0.8546602722981832,1.880252599056003,8.717534777441468,4.444233415950553,1.126055675084037,3.378167025252111,0.0,0.0,0.0,0.0,1.02559232675782,1.7093205445963664,76.74849245237685
4,8470144,Frans Nielsen,C,351.9166666666667,5,1,0,24,29,23,0,0,3.3833333333333333,301.98333333333335,0,52.5,4.2,0,0,0,0,46.55,12,-3,6,498,12.133333333333333,10.4,1.6,0.11666666666666667,1,0,0,0,0.8524745439206797,0.17049490878413592,0.0,4.091877810819263,3.9213829020351265,0.0,0.0,0.0,0.0,0.0,0.0,2.0459389054096313,1.0229694527048157,84.9064645744997
5,8475098,Tyler Bozak,C,462.3,12,5,10,35,31,17,1,4,40.31666666666667,361.3,10,56.8,14.3,0,0,2,3,60.68333333333333,20,-3,17,633,14.9,11.65,1.95,1.3,1,0,0,0,1.5574302397669413,0.6489292665695588,1.2978585331391177,4.542504865986912,2.2063595063365002,1.4882182683219056,5.9528730732876225,0.0,0.0,1.9774787113801504,2.966218067070226,2.5957170662782354,2.2063595063365002,82.15444514770614
6,8475151,Kyle Palmieri,RW,845.25,11,10,20,115,51,62,2,6,114.91666666666667,703.5166666666667,20,40.0,8.7,2,0,1,1,26.816666666666666,12,-5,21,1141,16.566666666666666,13.783333333333333,0.5166666666666667,2.25,0,0,1,0,0.7808340726671595,0.7098491569701451,1.4196983139402901,8.163265305156669,4.401064773214899,1.0442349519557057,3.132704855867117,0.14196983139402902,0.0,2.2374145348511574,2.2374145348511574,0.851818988364174,1.4906832296373045,80.99378881029355
7,8473573,Artem Anisimov,C,228.48333333333332,7,2,2,30,19,9,1,1,34.93333333333333,193.55,2,40.9,6.7,0,0,0,0,0.0,9,1,9,299,12.016666666666667,10.183333333333334,0.0,1.8333333333333335,1,0,0,0,1.838208475379003,0.525202421536858,0.525202421536858,7.8780363230528705,2.363410896915861,1.7175572469917255,1.7175572469917255,0.0,0.0,0.0,0.0,2.363410896915861,2.363410896915861,78.51776201976027
8,8474218,Jason Demers,D,706.7666666666667,4,0,26,44,41,69,0,0,4.866666666666667,638.7833333333333,26,0.0,0.0,0,0,0,0,63.11666666666667,30,-4,4,975,17.233333333333334,15.566666666666666,1.5333333333333332,0.11666666666666667,0,0,0,1,0.3395745884535809,0.0,2.207234824948276,3.7353204729893905,5.857661650824271,0.0,0.0,0.0,0.0,0.0,0.0,2.5468094134018573,0.3395745884535809,82.77130593556035
9,8475790,Erik Gudbranson,D,805.8833333333333,3,1,59,58,45,111,0,0,3.3666666666666667,698.05,59,0.0,1.7,1,0,0,0,104.46666666666667,64,-12,4,1047,17.9,15.5,2.3166666666666664,0.06666666666666667,0,0,0,1,0.22335739248153902,0.07445246416051302,4.392695385470267,4.318242921309754,8.264223521816943,0.0,0.0,0.07445246416051302,0.0,0.0,0.0,4.764957706272833,0.29780985664205206,77.95172997605712
10,8475231,Casey Cizikas,C,774.7333333333333,7,7,27,72,56,112,0,0,5.05,673.45,27,53.2,9.7,3,0,0,0,96.23333333333333,25,-2,14,1116,13.833333333333334,12.016666666666667,1.7166666666666668,0.08333333333333333,1,0,0,0,0.54212202041019,0.54212202041019,2.0910420787250183,5.576112209933382,8.67395232656304,0.0,0.0,0.23233800874722424,0.0,0.0,0.0,1.9361500728935355,1.08424404082038,86.42973925396743
11,8470595,Eric Staal,C,780.1833333333333,8,5,10,82,53,23,1,3,70.36666666666666,708.7833333333333,10,48.99,6.1,1,1,0,0,1.0333333333333334,15,-30,13,1022,14.716666666666667,13.366666666666667,0.016666666666666666,1.3166666666666667,1,0,0,0,0.6152400076116418,0.38452500475727613,0.7690500095145523,6.306210078019328,1.76881502188347,0.8526764554438517,2.5580293663315548,0.07690500095145522,0.07690500095145522,0.0,0.0,1.1535750142718284,0.9997650123689178,78.59691097238724
12,8470047,Valtteri Filppula,C,592.7,9,6,12,25,38,9,0,0,49.28333333333333,524.45,12,45.04,24.0,1,0,0,0,18.966666666666665,15,-1,15,726,15.583333333333334,13.8,0.48333333333333334,1.2833333333333332,1,0,0,0,0.9110848657143437,0.6073899104762291,1.2147798209524583,2.530791293650955,0.9110848657143437,0.0,0.0,0.10123165174603818,0.0,0.0,0.0,1.5184747761905728,1.5184747761905728,73.49417916762373
13,8476979,Erik Gustafsson,D,484.6666666666667,11,1,0,33,29,21,0,5,68.28333333333333,415.98333333333335,0,0.0,3.0,0,0,0,0,0.4,21,-1,12,626,16.7,14.333333333333334,0.0,2.35,0,0,0,1,1.3617606599666243,0.12379642363332947,0.0,4.085281979899873,2.599724896299919,0.0,4.393458621830425,0.0,0.0,0.0,0.0,2.599724896299919,1.4855570835999536,77.49656119446425
14,8477937,Jake Virtanen,RW,465.6,0,5,41,50,38,83,1,1,22.716666666666665,442.4166666666667,41,69.23,10.0,1,0,0,0,0.4666666666666667,12,-4,5,760,12.25,11.633333333333333,0.0,0.5833333333333334,0,0,1,0,0.0,0.6443298967688293,5.283505153504402,6.443298967688294,10.695876286362568,2.6412325635749117,2.6412325635749117,0.1288659793537659,0.0,0.0,0.0,1.5463917522451907,0.6443298967688293,97.93814430886208
15,8475163,Alex Chiasson,RW,561.7833333333333,7,9,33,65,45,40,5,7,134.51666666666668,427.26666666666665,33,40.0,13.8,1,0,0,0,0.0,7,-10,16,682,12.483333333333333,9.483333333333333,0.0,2.9833333333333334,0,0,1,0,0.7476191887594354,0.9612246712621311,3.524490461294481,6.942178181337614,4.272109650053917,2.2302069119834913,3.1222896767768877,0.10680274125134792,0.0,0.0,0.0,0.7476191887594354,1.7088438600215667,72.83946953341928
16,8475222,Sami Vatanen,D,663.6,4,2,20,55,39,27,0,0,8.983333333333333,577.5833333333334,20,0.0,3.6,0,0,0,0,77.03333333333333,49,3,6,838,17.0,14.8,1.9666666666666668,0.21666666666666667,0,0,0,1,0.36166365274839307,0.18083182637419654,1.8083182637419655,4.972875225290405,2.4412296560516533,0.0,0.0,0.0,0.0,0.0,0.0,4.430379746167816,0.5424954791225897,75.76853525078835
17,8474818,Jordie Benn,D,575.45,9,1,9,45,39,19,0,0,0.13333333333333333,521.9333333333333,9,0.0,2.2,0,0,0,0,53.38333333333333,51,7,10,779,14.75,13.366666666666667,1.3666666666666667,0.0,0,0,0,1,0.9383960377203239,0.10426622641336931,0.9383960377203239,4.69198018860162,1.981058301854017,0.0,0.0,0.0,0.0,0.0,0.0,5.317577547081836,1.0426622641336931,81.2233903760147
18,8477987,Ryan Donato,C,630.0833333333334,14,6,10,104,50,50,2,6,85.61666666666666,544.0166666666667,10,42.85,5.8,1,0,0,0,0.45,21,-11,20,837,12.6,10.866666666666667,0.0,1.7,1,0,0,0,1.3331569896045776,0.571352995544819,0.9522549925746983,9.903451922776863,4.761274962873491,1.4015962607729069,4.2047887823187216,0.09522549925746983,0.0,0.0,0.0,1.9997354844068662,1.9045099851493965,79.70374287850225
19,8470601,Braydon Coburn,D,304.85,2,0,14,18,19,27,0,0,1.1666666666666667,255.06666666666666,14,0.0,0.0,0,0,0,1,48.61666666666667,20,-3,2,425,16.033333333333335,13.416666666666666,2.55,0.05,0,0,0,1,0.3936362144026123,0.0,2.755453500818286,3.542725929623511,5.314088894435266,0.0,0.0,0.0,0.0,0.0,1.2341446666421432,3.9363621440261234,0.3936362144026123,83.6476955605551
20,8475834,Marcus Sörensen,LW,350.6,4,1,16,26,29,22,0,0,2.6166666666666667,304.9,16,42.85,3.8,0,0,0,0,43.083333333333336,11,-5,5,489,12.083333333333334,10.5,1.4833333333333334,0.08333333333333333,0,1,0,0,0.6845407870266568,0.1711351967566642,2.738163148106627,4.449515115673269,3.7649743286466126,0.0,0.0,0.0,0.0,0.0,0.0,1.8824871643233063,0.855675983783321,83.6851112140088
21,8474098,Colton Sceviour,RW,440.65,5,5,2,53,46,64,0,0,0.9,377.71666666666664,2,27.77,9.4,0,0,0,0,62.03333333333333,28,0,10,654,9.566666666666666,8.2,1.3333333333333333,0.016666666666666666,0,0,1,0,0.6808124360193322,0.6808124360193322,0.2723249744077329,7.216611821804922,8.714399181047453,0.0,0.0,0.0,0.0,0.0,0.0,3.8125496417082605,1.3616248720386643,89.05026663132865
22,8471677,Jack Johnson,D,220.56666666666666,0,1,8,13,13,30,0,0,0.48333333333333334,195.13333333333333,8,0.0,7.7,0,0,0,0,24.95,15,-5,1,279,16.966666666666665,15.0,1.9166666666666665,0.03333333333333333,0,0,0,1,0.0,0.2720265980329334,2.176212784263467,3.5363457744281344,8.160797940988001,0.0,0.0,0.0,0.0,0.0,0.0,4.0803989704940005,0.2720265980329334,75.89542085118842
23,8477240,Carter Rowney,C,271.3666666666667,6,0,2,10,19,45,0,0,0.65,221.65,2,57.14,0.0,0,0,0,0,49.06666666666667,21,-2,6,391,14.266666666666667,11.65,2.5666666666666664,0.03333333333333333,1,0,0,0,1.3266183510649974,0.0,0.4422061170216658,2.211030585108329,9.94963763298748,0.0,0.0,0.0,0.0,0.0,0.0,4.643164228727491,1.3266183510649974,86.45129587773566
24,8476851,Alex Galchenyuk,C,432.01666666666665,8,5,20,62,34,44,1,1,33.28333333333333,398.28333333333336,20,50.0,8.1,0,0,0,0,0.45,10,-8,13,600,12.7,11.7,0.0,0.9666666666666667,1,0,0,0,1.1110682455666674,0.6944176534791672,2.7776706139166687,8.610778903141675,6.110875350616672,1.8027040506678897,1.8027040506678897,0.0,0.0,0.0,0.0,1.3888353069583343,1.805485899045835,83.33011841750007
25,8471676,Bobby Ryan,RW,505.71666666666664,7,7,27,73,33,31,1,3,91.9,413.6333333333333,27,31.25,9.6,0,0,0,0,0.18333333333333332,17,-14,14,615,15.316666666666666,12.533333333333333,0.0,2.783333333333333,0,0,1,0,0.8305045643152283,0.8305045643152283,3.2033747480730232,8.660976170715953,3.677948784824583,0.6528835683864161,1.9586507051592486,0.0,0.0,0.0,0.0,2.016939656194126,1.6610091286304567,72.96575815055219
26,8470755,Brad Richardson,RW,208.48333333333332,3,1,4,18,17,14,0,0,0.9,167.08333333333334,4,51.35,5.6,1,0,0,0,40.5,9,0,4,297,12.25,9.816666666666666,2.3666666666666667,0.05,0,0,1,0,0.8633783671612224,0.2877927890537408,1.1511711562149631,5.180270202967334,4.02909904675237,0.0,0.0,0.2877927890537408,0.0,0.0,0.0,2.590135101483667,1.1511711562149631,85.47445834896102
